ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,Storage,ImageURL
HP Ryzen 5 Hexa Core 5500U,4.3,900,72,46990,60248,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
HP 14s Intel Core i3 11th Gen,4.2,3161,289,40990,49509,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/h/i/p/14s-dy5005tu-thin-and-light-laptop-hp-original-imagg4rc7n75zqkp.jpeg?q=70
MSI Bravo 15 Ryzen 5 Hexa Core AMD R5,4.4,1946,265,57990,72990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/3/l/-original-imagha3pvvc2xuz2.jpeg?q=70
HP Core i3 11th Gen,4.2,44,1,35999,45743,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kwtkxow0/computer/j/d/r/hp-business-laptop-laptop-hp-original-imag9ff5gayydubg.jpeg?q=70
HP Core i3 11th Gen,4.1,257,31,41990,50585,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/e/i/d/15s-fr2511tu-thin-and-light-laptop-hp-original-imagg59a7s5kymvy.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.2,1711,177,47990,61388,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/k/i/-original-imaggsh8hmh4jmdz.jpeg?q=70
HP Ryzen 3 Quad Core 5300U,4.2,1681,191,39000,45991,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
HP 15s Intel Core i3 11th Gen,4.2,184,16,41990,47834,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l51d30w0/computer/4/a/i/15s-fq2671tu-thin-and-light-laptop-hp-original-imagfsxsgmkdcjsg.jpeg?q=70
MSI Modern 15 Ryzen 5 Hexa Core 5500U,4.4,3018,411,48490,69990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/z/a/q/-original-imagh3jvfcznrvcs.jpeg?q=70
HP 15s Ryzen 3 Dual Core 3250U,4.3,4406,510,39999,48294,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kk2wl8w0/computer/z/u/5/hp-original-imafzgdgcbtxvjka.jpeg?q=70
HP Ryzen 3 Quad Core 5300U,4.3,1878,246,44700,50597,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/k/i/-original-imaggsh8hmh4jmdz.jpeg?q=70
HP 15s Intel Core i3 11th Gen,4.1,103,4,41990,51470,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/u/m/15s-du3614tu-thin-and-light-laptop-hp-original-imagghe6jcf76wgc.jpeg?q=70
HP G8 Ryzen 5 Hexa Core 5500U 5th Gen,5,5,1,45500,49695,AMD Ryzen 5 Hexa Core Processor (5th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/x/i/h/255-g8-laptop-hp-original-imagghdbs8mnge44.jpeg?q=70
HP Laptop with Backlit Keyboard Core i3 11th Gen,4.3,32,2,41990,51724,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/z/u/15s-fr2512tu-laptop-hp-original-imaggmeygbtemggf.jpeg?q=70
HP 14s Ryzen 3 Quad Core,4.5,870,178,45500,53900,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/knhsgi80/computer/b/i/2/na-thin-and-light-laptop-hp-original-imag25v8zcapzexv.jpeg?q=70
HP Intel Core i3 11th Gen,4.4,5457,576,41150,45892,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/computer/v/r/y/hp-original-imaftyzqzbyerzgt.jpeg?q=70
HP Intel Core i3 10th Gen,4.3,1450,136,40990,50294,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/computer/t/d/f/hp-original-imaftyzafphshjge.jpeg?q=70
HP 15s Intel Core i3 11th Gen,4.1,5214,513,41700,48933,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/kl5hh8w0/computer/l/u/x/hp-original-imagycknrhn3mvat.jpeg?q=70
HP 15s Core i3 10th Gen,4.1,1143,118,40400,43090,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/computer/t/d/f/hp-original-imaftyzafphshjge.jpeg?q=70
HP Ryzen 5 Quad Core,4,394,45,40264,0,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/khuvxjk0/computer/a/z/6/hp-na-thin-and-light-laptop-original-imafxrzgqyd5zxwb.jpeg?q=70
HP 15s Core i3 11th Gen,0,0,0,39890,52968,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/i/2/laptop-hp-15s-fq2670tu-laptop-hp-original-imagjmgbdgahch5f.jpeg?q=70
HP 15s Intel Core i3 11th Gen,4.4,79,11,40100,48400,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kzrbiq80/computer/v/d/d/15s-fq2626tu-thin-and-light-laptop-hp-original-imagbpb2sztfprgz.jpeg?q=70
HP 15s Core i3 11th Gen,4.3,543,67,44000,51333,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kl5hh8w0/computer/c/j/8/hp-original-imagyckn3hqfgp4y.jpeg?q=70
HP Core i3 11th Gen,0,0,0,43900,59500,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5bd5zk0/computer/r/k/z/15s-fr2512tu-laptop-hp-original-imaggykjf2ggyfgj.jpeg?q=70
HP Athlon Dual Core 3050U,4,539,53,26490,36359,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/6/o/14s-fq0568au-thin-and-light-laptop-hp-original-imaggdzyrdf7hbkr.jpeg?q=70
HP Ryzen 3 Dual Core 3250U,4.3,3796,397,36990,46052,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/d/j/15s-eq1560au-thin-and-light-laptop-hp-original-imaggsgk3gpr6jpp.jpeg?q=70
HP 15 Core i3 6th Gen,4.1,3103,535,36163,0,Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features),Intel Core i3 Processor (6th Gen),64 bit Windows 10 Operating System,https://rukminim1.flixcart.com/image/312/312/j431rbk0/computer/t/h/p/hp-notebook-original-imaev2zfjqfpf3ng.jpeg?q=70
HP Core i3 10th Gen,3.9,44,3,39643,0,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/ke0a7ww0/computer/9/u/k/hp-250-g7-business-laptop-original-imafuskbuzwyx4mg.jpeg?q=70
HP Ryzen 3 Dual Core,0,0,0,37890,42150,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB HDD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/x/n/7/255-g8-r3-laptop-hp-original-imaggwpywbhnywt7.jpeg?q=70
HP 15s Ryzen 3 Dual Core 3250U,4.3,4406,510,39501,48053,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kk2wl8w0/computer/z/u/5/hp-original-imafzgdgcbtxvjka.jpeg?q=70
HP 250 G8 Core i3 11th Gen,3.9,50,6,37600,46900,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/t/e/hp-250-g8-notebook-hp-original-imaggy7xh7jnch35.jpeg?q=70
HP Core i3 11th Gen,4,3,0,37690,49999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ky4qgsw0/computer/j/f/5/240-g8-laptop-hp-original-imagaffva46zgucg.jpeg?q=70
HP 255 G8 Ryzen 3 Dual Core AMD Ryzen3 3250,3.5,4,0,35990,44912,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l48s9zk0/computer/6/z/k/hp-laptop-255-g8-notebook-notebook-hp-original-imagf6hthg9zbxug.jpeg?q=70
HP Core i3 11th Gen,3.5,17,4,37990,44176,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/computer/u/x/c/hp-240-notebook-hp-original-imagd7bzvn4e2mhx.jpeg?q=70
HP Athlon Dual Core,3.5,13,2,35888,37999,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/computer/e/k/r/240-g8-laptop-hp-original-imagcbgcgnqwenzx.jpeg?q=70
HP Core i3 11th Gen,4.1,16,0,39200,43644,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/l0zm64w0/computer/2/a/h/255-g8-laptop-hp-original-imagcnk9gvmqvhaq.jpeg?q=70
HP Core i3 11th Gen,0,0,0,39676,44616,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/l4iscy80/computer/8/g/6/hp-240-g8-notebook-pc-laptop-hp-original-imagfegwnshsp5pk.jpeg?q=70
